"person","item_MR05","item_MR01","item_MR08","item_MR07","item_MR02","item_MR03","item_MR04","item_MR10","item_MR09","item_MR06"
2202,1,1,0,0,0,0,1,1,0,0
2203,1,1,1,1,1,1,1,1,1,1
2205,0,0,0,0,0,0,0,0,0,0
2207,1,1,1,1,1,0,1,0,0,1
2208,0,1,0,0,0,0,0,0,0,0
2211,0,0,0,0,0,0,0,0,0,0
2212,NA,1,0,NA,0,NA,0,0,0,0
2214,0,1,0,0,0,1,0,0,0,0
2215,1,1,0,1,1,1,1,1,1,1
2216,0,1,1,0,1,1,0,0,0,0
2217,1,1,1,1,1,1,1,0,1,1
2218,0,1,1,1,1,1,1,1,1,1
2219,1,1,0,1,1,1,1,0,1,0
2220,0,1,0,0,0,0,1,0,0,1
2223,0,1,0,0,0,0,0,0,0,0
2224,0,1,0,0,0,1,0,0,0,0
2225,0,0,0,0,0,0,0,0,0,0
2226,0,1,0,1,1,1,1,1,0,0
2229,0,1,1,1,0,0,0,0,0,0
2230,1,1,1,1,1,1,1,0,0,0
2232,1,1,0,0,0,1,1,0,0,1
2234,1,1,1,0,1,1,1,0,1,0
2235,0,0,0,0,0,0,0,0,0,0
2237,1,1,0,0,1,1,1,0,1,1
2238,0,1,1,0,0,1,0,0,0,0
2239,0,1,0,1,1,1,1,1,1,1
2240,0,1,1,0,1,1,1,0,1,1
2241,0,1,1,1,1,0,0,0,0,0
2245,0,0,0,0,0,0,0,0,0,0
2247,0,1,1,0,1,1,0,0,0,1
2248,0,0,0,0,0,0,0,0,0,0
2253,0,1,0,0,0,0,1,0,0,0
2255,0,1,0,0,0,0,0,0,0,0
2256,0,1,0,0,0,0,0,0,0,0
2259,0,1,0,0,1,0,0,0,0,0
2260,1,1,0,0,0,1,1,0,0,0
2265,0,0,0,0,0,0,0,0,0,0
2266,0,0,0,0,0,0,0,0,0,0
2267,0,0,0,0,0,0,0,0,0,0
2268,1,1,1,1,1,0,1,1,1,1
2269,1,1,1,1,1,1,1,0,1,1
2270,1,1,1,1,1,1,1,0,1,1
2273,1,1,1,1,1,1,1,1,1,1
2274,0,0,0,0,0,0,0,0,0,0
2275,0,0,0,0,0,0,0,0,0,0
2277,1,1,1,1,1,1,1,0,1,1
2278,0,1,0,0,0,0,0,0,0,0
2279,1,1,1,1,1,1,1,1,1,1
2280,0,1,1,1,1,1,1,1,0,1
2283,0,0,0,0,0,0,0,0,0,0
2285,1,1,1,0,1,1,1,1,0,1
2287,1,1,1,1,1,1,1,1,1,1
2289,1,1,1,0,1,1,1,0,1,1
2292,0,1,1,1,1,1,1,1,1,1
2294,0,0,0,0,0,0,0,0,0,0
2297,0,1,0,0,0,0,0,0,0,0
2300,0,1,0,0,0,1,1,0,0,0
2303,0,1,0,0,1,0,1,0,1,0
2304,1,1,0,0,1,1,0,0,0,0
2306,1,1,1,1,1,1,1,1,1,1
2307,0,1,0,0,0,0,0,1,0,0
2309,0,0,0,0,0,0,0,0,0,0
2312,1,1,1,0,1,1,1,0,1,1
2315,0,1,0,0,1,1,0,0,0,1
2317,0,0,0,0,0,0,0,0,0,0
2318,0,0,0,0,0,0,0,0,0,0
2319,1,1,1,1,1,1,1,1,1,1
2320,1,1,1,1,0,1,1,0,1,1
2321,1,1,1,1,1,1,1,1,1,1
2322,1,1,1,0,1,1,0,0,1,1
2324,0,0,0,0,1,1,1,0,0,1
2327,1,1,1,1,1,1,1,0,0,1
2328,0,0,0,0,0,0,0,0,0,0
2329,1,1,1,1,1,1,1,0,1,0
2330,1,1,1,0,1,1,1,0,1,0
2332,1,1,1,0,1,1,1,1,1,1
2333,0,1,0,1,1,1,0,0,0,1
2335,0,0,0,0,0,0,0,0,0,0
2336,0,1,1,1,1,1,1,0,0,1
